Algo,Overall,Bucket 0(0.486),Bucket 1(0.429),Bucket 2(0.086),Bucket 3(0.143),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.029),Bucket 7(0.0),Bucket 8(0.029),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.029),Bucket 12(0.0),Bucket 13(0.029),Bucket 14(0.029),Bucket 15(0.029)
lr,0.98,1.0,1.0,1.0,1.0,0.14,0.29,0.57,0.29,0.14,0.14,0.14,0.43,0.0,0.71,0.29,0.57
svm,0.97,1.0,1.0,1.0,1.0,0.71,0.14,0.57,0.86,0.29,0.0,0.0,0.43,0.0,0.71,0.86,0.71
knn,0.97,1.0,1.0,1.0,1.0,0.71,0.43,0.71,0.43,0.14,0.29,0.0,0.57,0.0,0.71,0.43,0.43
mlp_sklearn,0.99,1.0,1.0,1.0,1.0,0.57,0.29,0.71,0.43,0.0,0.29,0.0,0.86,0.14,0.82,0.57,0.43
rand_for,0.97,1.0,1.0,1.0,0.86,0.71,0.57,0.86,0.29,0.57,0.14,0.0,0.71,0.0,0.71,0.71,0.43
dec_tree,0.99,1.0,1.0,1.0,1.0,0.86,0.57,0.5,0.43,0.29,0.0,0.0,0.14,0.14,0.71,0.71,0.29
ber_nb,0.97,1.0,1.0,1.0,1.0,0.29,0.14,0.86,0.57,0.57,0.43,0.14,0.57,0.0,0.43,0.71,0.57
xtra_tree,1.0,1.0,1.0,1.0,1.0,0.14,0.43,0.43,0.57,0.43,0.0,0.29,0.71,0.0,0.86,0.57,0.43
gau_nb,0.89,1.0,1.0,1.0,0.71,0.38,0.14,0.29,0.14,0.43,0.29,0.14,0.29,0.0,0.57,0.57,0.29
label_prop,0.99,1.0,1.0,1.0,1.0,0.29,0.14,0.57,0.29,0.43,0.14,0.0,0.71,0.0,0.86,0.43,0.29
label_spread,0.98,1.0,1.0,1.0,0.94,0.57,0.29,0.57,0.14,0.29,0.14,0.0,0.14,0.0,0.57,0.57,1.0
lda,0.8,0.94,0.96,0.87,0.7,0.36,0.2,0.57,0.14,0.0,0.14,0.0,0.14,0.0,0.33,0.14,0.57
ridge_cv,0.99,1.0,1.0,1.0,1.0,0.29,0.14,0.71,0.14,0.43,0.0,0.0,0.71,0.14,0.71,0.71,0.29
n_cent,0.98,1.0,1.0,1.0,1.0,0.71,0.57,0.86,0.43,0.14,0.14,0.0,0.71,0.0,0.71,0.57,0.57
ridge,0.97,1.0,1.0,1.0,1.0,0.71,0.14,0.86,0.29,0.0,0.43,0.0,0.71,0.14,0.86,0.57,0.29
