Algo,Overall,Bucket 0(0.693),Bucket 1(0.09),Bucket 2(0.057),Bucket 3(0.042),Bucket 4(0.023),Bucket 5(0.027),Bucket 6(0.01),Bucket 7(0.014),Bucket 8(0.011),Bucket 9(0.013),Bucket 10(0.012),Bucket 11(0.017),Bucket 12(0.015),Bucket 13(0.011),Bucket 14(0.009),Bucket 15(0.01)
lr,0.82,0.99,0.9,0.83,0.85,0.6,0.61,0.54,0.45,0.47,0.43,0.37,0.16,0.2,0.16,0.1,0.23
svm,0.83,0.99,0.9,0.87,0.85,0.64,0.65,0.67,0.59,0.58,0.46,0.43,0.14,0.09,0.25,0.16,0.3
knn,0.83,0.99,0.89,0.86,0.88,0.65,0.69,0.67,0.55,0.57,0.4,0.44,0.29,0.2,0.37,0.13,0.23
mlp_sklearn,0.81,0.98,0.87,0.85,0.82,0.67,0.58,0.52,0.48,0.56,0.37,0.45,0.15,0.24,0.18,0.1,0.17
rand_for,0.76,0.94,0.7,0.79,0.67,0.51,0.46,0.5,0.39,0.38,0.36,0.37,0.3,0.27,0.31,0.18,0.51
dec_tree,0.8,0.99,0.87,0.81,0.79,0.66,0.62,0.5,0.42,0.44,0.36,0.23,0.26,0.15,0.12,0.19,0.18
ber_nb,0.79,0.95,0.79,0.77,0.79,0.59,0.7,0.7,0.46,0.62,0.3,0.39,0.29,0.37,0.35,0.31,0.32
xtra_tree,0.85,0.99,0.91,0.89,0.88,0.73,0.74,0.73,0.59,0.55,0.52,0.45,0.39,0.32,0.46,0.27,0.53
gau_nb,0.77,0.96,0.83,0.73,0.68,0.65,0.54,0.52,0.27,0.38,0.28,0.31,0.06,0.15,0.11,0.2,0.22
label_prop,0.8,0.96,0.8,0.83,0.8,0.57,0.68,0.67,0.43,0.5,0.47,0.39,0.29,0.21,0.35,0.11,0.26
label_spread,0.78,0.95,0.81,0.81,0.77,0.57,0.65,0.6,0.43,0.61,0.46,0.35,0.27,0.17,0.29,0.12,0.24
lda,0.73,0.98,0.82,0.65,0.61,0.39,0.29,0.27,0.25,0.13,0.08,0.13,0.07,0.05,0.09,0.05,0.05
ridge_cv,0.84,0.98,0.89,0.89,0.87,0.71,0.71,0.68,0.54,0.65,0.46,0.42,0.23,0.18,0.29,0.23,0.26
n_cent,0.78,0.95,0.8,0.76,0.74,0.62,0.62,0.64,0.4,0.52,0.41,0.41,0.23,0.11,0.39,0.17,0.24
ridge,0.84,0.99,0.92,0.91,0.89,0.78,0.7,0.67,0.59,0.6,0.47,0.34,0.24,0.17,0.18,0.11,0.37
