Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.8,0.99 (0.55),0.57 (0.45),0.87 (0.19),0.49 (0.08),0.23 (0.07),0.2 (0.03),0.22 (0.01)
svm,0.81,0.99 (0.55),0.59 (0.45),0.87 (0.18),0.57 (0.08),0.25 (0.07),0.14 (0.03),0.24 (0.01)
knn,0.81,0.99 (0.55),0.6 (0.45),0.88 (0.19),0.56 (0.08),0.24 (0.07),0.18 (0.03),0.16 (0.01)
mlp_sklearn,0.8,0.99 (0.55),0.57 (0.45),0.88 (0.18),0.5 (0.08),0.23 (0.07),0.15 (0.03),0.2 (0.01)
rand_for,0.74,0.96 (0.55),0.48 (0.45),0.7 (0.19),0.39 (0.08),0.21 (0.07),0.25 (0.03),0.28 (0.01)
dec_tree,0.75,0.98 (0.55),0.47 (0.45),0.74 (0.18),0.36 (0.08),0.16 (0.07),0.16 (0.03),0.1 (0.01)
ber_nb,0.73,0.94 (0.56),0.47 (0.44),0.63 (0.19),0.33 (0.08),0.3 (0.07),0.34 (0.03),0.19 (0.01)
xtra_tree,0.83,0.99 (0.55),0.64 (0.45),0.89 (0.19),0.6 (0.08),0.3 (0.07),0.31 (0.03),0.33 (0.01)
gau_nb,0.76,0.97 (0.55),0.49 (0.45),0.75 (0.19),0.35 (0.08),0.22 (0.07),0.24 (0.03),0.19 (0.01)
label_prop,0.78,0.96 (0.56),0.55 (0.44),0.8 (0.19),0.52 (0.08),0.21 (0.07),0.17 (0.03),0.19 (0.01)
label_spread,0.77,0.96 (0.56),0.53 (0.44),0.78 (0.19),0.51 (0.08),0.2 (0.07),0.12 (0.03),0.21 (0.01)
lda,0.76,0.98 (0.56),0.47 (0.44),0.8 (0.18),0.34 (0.08),0.14 (0.07),0.1 (0.03),0.08 (0.01)
ridge_cv,0.82,0.99 (0.56),0.6 (0.44),0.89 (0.18),0.57 (0.07),0.22 (0.07),0.2 (0.03),0.16 (0.01)
n_cent,0.78,0.96 (0.55),0.55 (0.45),0.81 (0.19),0.51 (0.07),0.26 (0.07),0.14 (0.03),0.23 (0.01)
ridge,0.81,0.99 (0.55),0.58 (0.45),0.9 (0.19),0.53 (0.08),0.21 (0.07),0.18 (0.03),0.07 (0.01)
2g4,0.82,0.99 (0.55),0.61 (0.45),0.89 (0.19),0.54 (0.08),0.27 (0.07),0.24 (0.03),0.27 (0.01)
2e4,0.82,0.99 (0.55),0.61 (0.45),0.89 (0.18),0.56 (0.08),0.26 (0.07),0.18 (0.03),0.35 (0.01)
2g8,0.84,0.99 (0.55),0.65 (0.45),0.91 (0.19),0.62 (0.08),0.33 (0.07),0.32 (0.03),0.3 (0.01)
2e8,0.84,0.99 (0.55),0.65 (0.45),0.91 (0.18),0.61 (0.08),0.29 (0.07),0.32 (0.03),0.37 (0.01)
2g9,0.84,0.99 (0.56),0.65 (0.44),0.9 (0.19),0.59 (0.08),0.34 (0.07),0.32 (0.03),0.33 (0.01)
2e9,0.84,0.99 (0.55),0.66 (0.45),0.91 (0.19),0.62 (0.08),0.33 (0.07),0.31 (0.04),0.28 (0.01)
g10,0.83,0.99 (0.55),0.64 (0.45),0.9 (0.19),0.6 (0.08),0.32 (0.07),0.33 (0.03),0.34 (0.01)
e10,0.84,0.99 (0.55),0.65 (0.45),0.89 (0.18),0.62 (0.08),0.33 (0.07),0.27 (0.03),0.37 (0.01)
