Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.84,0.99,0.84,0.81,0.69,0.65,0.54
svm,0.84,0.98,0.85,0.97,0.87,0.48,0.37
knn,0.87,0.98,0.93,0.91,0.76,0.76,0.56
mlp_sklearn,0.83,0.97,0.79,0.81,0.86,0.51,0.59
rand_for,0.78,0.91,0.62,0.71,0.71,0.43,0.49
dec_tree,0.84,0.99,0.91,0.77,0.75,0.77,0.76
ber_nb,0.81,0.94,0.79,0.75,0.8,0.48,0.56
xtra_tree,0.87,0.99,0.89,0.86,0.87,0.58,0.7
gau_nb,0.8,0.93,0.83,0.75,0.8,0.45,0.52
label_prop,0.83,0.96,0.83,0.85,0.73,0.57,0.64
label_spread,0.8,0.94,0.83,0.85,0.8,0.49,0.55
lda,0.83,0.97,0.9,0.89,0.75,0.84,0.49
ridge_cv,0.86,0.99,0.85,0.91,0.94,0.47,0.54
n_cent,0.79,0.93,0.73,0.68,0.74,0.47,0.3
ridge,0.87,0.99,0.85,0.93,0.89,0.5,0.55
